"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Cordarrelle Patterson",3000,"Min@Car 01:00PM ET",1.100,"Min"
"TE","Charles Clay",2900,"Ari@Buf 01:00PM ET",6.850,"Buf"
"TE","Jordan Cameron",2900,"Cle@Mia 01:00PM ET",9.250,"Mia"
"TE","Jared Cook",2900,"Det@GB 01:00PM ET",4.400,"GB"
"TE","Clive Walford",2800,"Oak@Ten 01:00PM ET",11.250,"Oak"
"DST","Bengals ",2800,"Den@Cin 01:00PM ET",5.000,"Cin"
"DST","Bills ",2700,"Ari@Buf 01:00PM ET",7.500,"Buf"
"TE","Vernon Davis",2700,"Was@NYG 01:00PM ET",6.550,"Was"
"TE","Larry Donnell",2700,"Was@NYG 01:00PM ET",7.450,"NYG"
"TE","Richard Rodgers",2700,"Det@GB 01:00PM ET",3.850,"GB"
"DST","Raiders ",2600,"Oak@Ten 01:00PM ET",0.500,"Oak"
"TE","Will Tye",2600,"Was@NYG 01:00PM ET",3.800,"NYG"
"DST","Jaguars ",2600,"Bal@Jax 01:00PM ET",1.000,"Jax"
"TE","Darren Fells",2500,"Ari@Buf 01:00PM ET",3.550,"Ari"
"TE","Jim Dray",2500,"Ari@Buf 01:00PM ET",0.000,"Buf"
"TE","Jermaine Gresham",2500,"Ari@Buf 01:00PM ET",4.050,"Ari"
"TE","Nick O'Leary",2500,"Ari@Buf 01:00PM ET",0.000,"Buf"
"TE","Troy Niklas",2500,"Ari@Buf 01:00PM ET",0.000,"Ari"
"TE","Anthony Fasano",2500,"Oak@Ten 01:00PM ET",0.550,"Ten"
"TE","Lee Smith",2500,"Oak@Ten 01:00PM ET",3.200,"Oak"
"TE","Mychal Rivera",2500,"Oak@Ten 01:00PM ET",0,"Oak"
"TE","Beau Brinkley",2500,"Oak@Ten 01:00PM ET",0.000,"Ten"
"TE","Jace Amaro",2500,"Oak@Ten 01:00PM ET",0,"Ten"
"TE","Phillip Supernaw",2500,"Oak@Ten 01:00PM ET",0.850,"Ten"
"DST","Titans ",2500,"Oak@Ten 01:00PM ET",7.000,"Ten"
"TE","Niles Paul",2500,"Was@NYG 01:00PM ET",1.300,"Was"
"TE","Jerell Adams",2500,"Was@NYG 01:00PM ET",0.000,"NYG"
"TE","MarQueis Gray",2500,"Cle@Mia 01:00PM ET",0.000,"Mia"
"TE","Dion Sims",2500,"Cle@Mia 01:00PM ET",1.550,"Mia"
"TE","Randall Telfer",2500,"Cle@Mia 01:00PM ET",0.000,"Cle"
"TE","Seth DeValve",2500,"Cle@Mia 01:00PM ET",0.000,"Cle"
"TE","Marcedes Lewis",2500,"Bal@Jax 01:00PM ET",8.250,"Jax"
"TE","Crockett Gillmore",2500,"Bal@Jax 01:00PM ET",2.350,"Bal"
"TE","Neal Sterling",2500,"Bal@Jax 01:00PM ET",0.000,"Jax"
"TE","Ben Koyack",2500,"Bal@Jax 01:00PM ET",0.000,"Jax"
"TE","Maxx Williams",2500,"Bal@Jax 01:00PM ET",0.000,"Bal"
"DST","Ravens ",2500,"Bal@Jax 01:00PM ET",9.000,"Bal"
"TE","Andrew Quarless",2500,"Det@GB 01:00PM ET",0,"Det"
"TE","Justin Perillo",2500,"Det@GB 01:00PM ET",0.000,"GB"
"TE","Orson Charles",2500,"Det@GB 01:00PM ET",0.000,"Det"
"TE","Cole Wick",2500,"Det@GB 01:00PM ET",1.500,"Det"
"TE","Khari Lee",2500,"Det@GB 01:00PM ET",0.000,"Det"
"TE","Clark Harris",2500,"Den@Cin 01:00PM ET",0.000,"Cin"
"TE","John Phillips",2500,"Den@Cin 01:00PM ET",0.000,"Den"
"TE","Ryan Hewitt",2500,"Den@Cin 01:00PM ET",0.000,"Cin"
"TE","Tyler Kroft",2500,"Den@Cin 01:00PM ET",3.250,"Cin"
"TE","C.J. Uzomah",2500,"Den@Cin 01:00PM ET",5.900,"Cin"
"TE","Jeff Heuerman",2500,"Den@Cin 01:00PM ET",0,"Den"
"TE","Ed Dickson",2500,"Min@Car 01:00PM ET",0.000,"Car"
"TE","Rhett Ellison",2500,"Min@Car 01:00PM ET",0.000,"Min"
"TE","Kevin McDermott",2500,"Min@Car 01:00PM ET",0.000,"Min"
"TE","MyCole Pruitt",2500,"Min@Car 01:00PM ET",0,"Min"
"TE","Scott Simonson",2500,"Min@Car 01:00PM ET",0.000,"Car"
"TE","David Morgan",2500,"Min@Car 01:00PM ET",0.000,"Min"
"DST","Redskins ",2400,"Was@NYG 01:00PM ET",2.500,"Was"
"DST","Lions ",2400,"Det@GB 01:00PM ET",4.000,"Det"
"DST","Browns ",2300,"Cle@Mia 01:00PM ET",3.000,"Cle"
